town,permits
Andover,3
Ansonia,0
Ashford,0
Avon,8
Barkhamsted,0
Beacon Falls,0
Berlin,11
Bethany,0
Bethel,42
Bethlehem,0
Bloomfield,4
Bolton,6
Bozrah,0
Branford,9
Bridgeport,29
Bridgewater,0
Bristol,25
Brookfield,7
Brooklyn,9
Burlington,10
Canaan,0
Canterbury,0
Canton,5
Chaplin,0
Cheshire,13
Chester,0
Clinton,13
Colchester,26
Colebrook,0
Columbia,1
Cornwall,0
Coventry,13
Cromwell,6
Danbury,61
Darien,23
Deep River,1
Derby,0
Durham,2
East Granby,3
East Haddam,6
East Hampton,17
East Hartford,0
East Haven,0
East Lyme,16
East Windsor,142
Eastford,0
Easton,7
Ellington,71
Enfield,20
Essex,24
Fairfield,57
Farmington,30
Franklin,0
Glastonbury,28
Goshen,0
Granby,41
Greenwich,128
Griswold,14
Groton,0
Guilford,0
Haddam,3
Hamden,0
Hampton,0
Hartford,3
Hartland,0
Harwinton,0
Hebron,11
Kent,4
Killingly,0
Killingworth,3
Lebanon,6
Ledyard,0
Lisbon,0
Litchfield,0
Lyme,2
Madison,0
Manchester,19
Mansfield,6
Marlborough,1
Meriden,0
Middlebury,0
Middlefield,6
Middletown,8
Milford,119
Monroe,6
Montville,0
Morris,0
Naugatuck,0
New Britain,6
New Canaan,15
New Fairfield,4
New Hartford,0
New Haven,430
New London,25
New Milford,0
Newington,2
Newtown,39
Norfolk,0
North Branford,0
North Canaan,0
North Haven,0
North Stonington,0
Norwalk,27
Norwich,17
Old Lyme,0
Old Saybrook,36
Orange,0
Oxford,24
Plainfield,0
Plainville,7
Plymouth,0
Pomfret,0
Portland,5
Preston,10
Prospect,18
Putnam,0
Redding,4
Ridgefield,6
Rocky Hill,6
Roxbury,0
Salem,0
Salisbury,0
Scotland,0
Seymour,0
Sharon,0
Shelton,35
Sherman,2
Simsbury,189
Somers,9
South Windsor,64
Southbury,0
Southington,44
Sprague,0
Stafford,8
Stamford,82
Sterling,0
Stonington,0
Stratford,23
Suffield,54
Thomaston,0
Thompson,0
Tolland,7
Torrington,0
Trumbull,5
Union,1
Vernon,71
Voluntown,0
Wallingford,14
Warren,0
Washington,0
Waterbury,15
Waterford,0
Watertown,0
West Hartford,52
West Haven,0
Westbrook,4
Weston,7
Westport,75
Wethersfield,3
Willington,1
Wilton,5
Winchester,0
Windham,1
Windsor,12
Windsor Locks,7
Wolcott,10
Woodbridge,0
Woodbury,3
Woodstock,0
